Component ID,Component Name,Skill Name,Keywords
1,ejs-button,syncfusion-aspnetcore-buttons,"button, cta, action, click, primary, secondary, outline, icon, icon button, notification button, profile button, dashboard button"
2,ejs-button,syncfusion-aspnetcore-buttons,"button group, grouped buttons, radio group, checkbox group, set"
3,ejs-fab,syncfusion-aspnetcore-buttons,"fab, floating action button, primary action, fixed button"
4,ejs-speeddial,syncfusion-aspnetcore-buttons,"speed dial, fab menu, action menu, floating menu, radial"
5,ejs-switch,syncfusion-aspnetcore-buttons,"switch, toggle, on-off, binary, form, input"
6,ejs-radiobutton,syncfusion-aspnetcore-buttons,"radio, radio button, single select, form, choice"
7,ejs-dropdownbutton,syncfusion-aspnetcore-buttons,"dropdown button, menu button, action menu, dropdown menu, user menu, profile menu, action dropdown, settings menu, user dropdown"
8,ejs-splitbutton,syncfusion-aspnetcore-buttons,"split button, dual action, save, primary secondary"
9,ejs-progressbutton,syncfusion-aspnetcore-buttons,"progress button, loading, async, spinner"
10,ejs-uploader,syncfusion-aspnetcore-inputs,"upload, file upload, file input, drag drop, file picker, async upload, chunk upload"
11,ejs-signature,syncfusion-aspnetcore-inputs,"signature, sign, handwriting, capture, canvas, digital signature, draw"
12,ejs-numerictextbox,syncfusion-aspnetcore-inputs,"numeric, number, input, currency, percent, spinner, decimal, formatting"
13,ejs-slider,syncfusion-aspnetcore-inputs,"slider, range, range slider, dual slider, input, touch, value, handle"
14,ejs-textbox,syncfusion-aspnetcore-inputs,"textbox, text input, input, form, single line, multiline, floating label, icon"
15,ejs-textarea,syncfusion-aspnetcore-inputs,"textarea, multiline text, text input, form, character limit, resize"
16,ejs-otpinput,syncfusion-aspnetcore-inputs,"otp, one time password, pin, password input, masked, mfa"
17,ejs-checkbox,syncfusion-aspnetcore-inputs,"checkbox, input, form, toggle, checked, indeterminate, selection"
18,ejs-autocomplete,syncfusion-aspnetcore-dropdowns,"autocomplete, typeahead, suggestions, filtering, grouping, virtualization"
19,ejs-combobox,syncfusion-aspnetcore-dropdowns,"combobox, combo box, dropdown, input, search, hybrid, filtering"
20,ejs-dropdownlist,syncfusion-aspnetcore-dropdowns,"dropdown, dropdown list, select, single select, selection"
21,ejs-listbox,syncfusion-aspnetcore-dropdowns,"listbox, list, selection, multi select, checkboxes, drag drop"
22,ejs-mention,syncfusion-aspnetcore-dropdowns,"mention, tag, @mention, #hashtag, suggestion popup, inline"
23,ejs-multiselect,syncfusion-aspnetcore-dropdowns,"multiselect, multi select, dropdown, multiple selection, filtering"
